CATEGORY,PRODUCTID,ITEM,IMGSRC,DESCRIPTION,MRP,DISCOUNTEDPRICE
MS,MS14,"Fullsleeve Shirt, Blue Checks",item_images/MS/ms14.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1299,649
MS,MS15,"Fullsleeve Shirt, Blue and Black",item_images/MS/ms15.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1299,909
MS,MS16,"Fullsleeve Shirt, Teal Blue",item_images/MS/ms16.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1099,659
MS,MS17,"Fullsleeve Shirt, Red",item_images/MS/ms17.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",7499,449
MS,MS18,"Fullsleeve Shirt, Sky Blue",item_images/MS/ms18.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",599,179
MS,MS19,"Fullsleeve Shirt, Peach",item_images/MS/ms19.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1399,979
MS,MS20,"Fullsleeve Shirt, Blue",item_images/MS/ms20.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1499,749
MS,MS21,"Fullsleeve Shirt, Dull Green",item_images/MS/ms21.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1099,659
MS,MS22,"Fullsleeve Shirt, Light Brown",item_images/MS/ms22.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,489
MS,MS23,"Fullsleeve Shirt, Deep Blue",item_images/MS/ms23.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",999,549
MS,MS24,"Fullsleeve Shirt, Sea Blue",item_images/MS/ms24.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",599,359
MS,MS25,"Halfsleeve Shirt, Brown",item_images/MS/ms25.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",549,329
MS,MS26,"Casual Shirt, Black",item_images/MS/ms26.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1299,779
MS,MS27,"Casual Shirt, Light Blue",item_images/MS/ms27.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",5490,3568
MS,MS28,"Casual Shirt, Blue Checks",item_images/MS/ms28.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1430,1001
MS,MS29,"Fullsleeve Shirt, Yellow",item_images/MS/ms29.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,384
MS,MS30,"Halfsleeve Shirt, Olive Green",item_images/MS/ms30.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,279
MS,MS31,"Casual Shirt, Denim",item_images/MS/ms31.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",599,299
MS,MS32,"Casual Shirt, Printed",item_images/MS/ms32.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,384
MB,MB1,"Denim Jeans, Black",item_images/MB/mb1.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1099,659
MB,MB2,"Denim Jeans, Dark Blue",item_images/MB/mb2.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,559
MB,MB3,"Denim Jeans, Faded",item_images/MB/mb3.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",865,778
MB,MB4,"Denim Jeans, Faded Ripped",item_images/MB/mb4.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",949,664
MB,MB5,"Denim Jeans, Dark Faded",item_images/MB/mb5.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",3599,1979
MB,MB6,"Denim Jeans, Dark Blue Faded",item_images/MB/mb6.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",549,439
MB,MB7,"Denim Jeans, Ripped",item_images/MB/mb7.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1299,649
MB,MB8,"Denim Jeans, Black Faded",item_images/MB/mb8.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,384
MB,MB9,"Denim Jeans, Grey Faded",item_images/MB/mb9.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",599,359
MB,MB10,"Denim Jeans, Light Grey",item_images/MB/mb10.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",649,519
MB,MB11,"Skinny Jeans, Black",item_images/MB/mb11.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",949,664
MB,MB12,"Straight Jeans, Denim",item_images/MB/mb12.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",999,1399
MB,MB13,"Trousers, Black",item_images/MB/mb13.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1695,1186
MB,MB14,"Trousers, Suede",item_images/MB/mb14.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1299,649
MB,MB15,"Trousers, Light Brown",item_images/MB/mb15.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1299,909
MB,MB16,"Trousers, Dark Grey",item_images/MB/mb16.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1099,659
MB,MB17,"Cuffed Pants, Camo",item_images/MB/mb17.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",7499,449
MB,MB18,"Trousers, Brown",item_images/MB/mb18.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",599,179
MB,MB19,"Cuffed Trousers, Black",item_images/MB/mb19.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1399,979
MB,MB20,"Straight Trousers, Dark Grey",item_images/MB/mb20.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1499,749
MB,MB21,"Formal Trousers, Dark Brown",item_images/MB/mb21.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1099,659
MB,MB22,"Formal Trousers, Dark Grey",item_images/MB/mb22.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,489
MB,MB23,"Formal Trousers, Brown",item_images/MB/mb23.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",999,549
MB,MB24,"Formal Trousers, Black",item_images/MB/mb24.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",599,359
MB,MB25,"Formal Trousers, Grey",item_images/MB/mb25.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",549,329
MB,MB26,"Formal Trousers, Grey Skinny",item_images/MB/mb26.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1299,779
MB,MB27,"Formal Trousers, Black Skinny",item_images/MB/mb27.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",5490,3568
MB,MB28,"Formal Trousers, Black Straight",item_images/MB/mb28.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",1430,1001
MB,MB29,"Chinos, Light Blue",item_images/MB/mb29.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,384
MB,MB30,"Formal Trousers, Grey Straight",item_images/MB/mb30.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,279
MB,MB31,"Formal Trousers, Beige",item_images/MB/mb31.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",599,299
MB,MB32,"Formal Trousers, Maroon",item_images/MB/mb32.jpg,"Black dark wash 5-pocket mid-rise jeans, clean look with no fade, has a button and zip closure, waistband with belt loops. 98% cotton, 2% elastane",699,384
MSPO,MSPO1,"Jersey T-Shirt, White",item_images/MSPO/ms1.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1099,659
MSPO,MSPO2,"Fullsleeve Jersey, Black Piped",item_images/MSPO/ms2.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,559
MSPO,MSPO3,"Sleeveless Jersey, Black and Red",item_images/MSPO/ms3.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",865,778
MSPO,MSPO4,"Fullsleeve Jersey, Black",item_images/MSPO/ms4.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",949,664
MSPO,MSPO5,"Sleeveless Jersey, Blue",item_images/MSPO/ms5.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",3599,1979
MSPO,MSPO6,"Jersey, Grey",item_images/MSPO/ms6.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",549,439
MSPO,MSPO7,"Jersey, Dark Brown",item_images/MSPO/ms7.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1299,649
MSPO,MSPO8,"Jersey, Orange",item_images/MSPO/ms8.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,384
MSPO,MSPO9,"Jersey, Blue",item_images/MSPO/ms9.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",599,359
MSPO,MSPO10,"Diving T-Shirt, Black ",item_images/MSPO/ms10.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",649,519
MSPO,MSPO11,"Zipped Joggers, Black",item_images/MSPO/ms11.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",949,664
MSPO,MSPO12,"Skinny Joggers, Dark Grey",item_images/MSPO/ms12.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",999,1399
MSPO,MSPO13,"Skinny Joggers, Black",item_images/MSPO/ms13.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1695,1186
MSPO,MSPO14,"Track Pants, Grey",item_images/MSPO/ms14.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1299,649
MSPO,MSPO15,"Track Pants, Black",item_images/MSPO/ms15.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1299,909
MSPO,MSPO16,"Track Pants, Dark Grey",item_images/MSPO/ms16.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1099,659
MSPO,MSPO17,"Skinny Tracks, Dark Grey",item_images/MSPO/ms17.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",7499,449
MSPO,MSPO18,"Skinny Tracks, Olive Green",item_images/MSPO/ms18.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",599,179
MSPO,MSPO19,"Skinny Tracks, Blue",item_images/MSPO/ms19.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1399,979
MSPO,MSPO20,"Joggers, Black",item_images/MSPO/ms20.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1499,749
MSPO,MSPO21,"Shorts, Green",item_images/MSPO/ms21.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1099,659
MSPO,MSPO22,"Shorts, Black",item_images/MSPO/ms22.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,489
MSPO,MSPO23,"Shorts, Black with Skins",item_images/MSPO/ms23.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",999,549
MSPO,MSPO24,"Shorts, Dark Blue",item_images/MSPO/ms24.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",599,359
MSPO,MSPO25,"Tennis Shorts, Grey",item_images/MSPO/ms25.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",549,329
MSPO,MSPO26,"Tennis Shorts, Black",item_images/MSPO/ms26.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1299,779
MSPO,MSPO27,"Shorts, Black Straight",item_images/MSPO/ms27.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",5490,3568
MSPO,MSPO28,"Shorts, Grey",item_images/MSPO/ms28.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",1430,1001
MSPO,MSPO29,"Shorts, Printed",item_images/MSPO/ms29.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,384
MSPO,MSPO30,"Golf Shorts, Olive Green",item_images/MSPO/ms30.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,279
MSPO,MSPO31,"Track Pants, White",item_images/MSPO/ms31.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",599,299
MSPO,MSPO32,"Track Pants, Olive Green",item_images/MSPO/ms32.jpg,"White half sleeve, Jersey material Tshirt, sweat absorbant, 92% synthetic, 8% polyester",699,384
MA,MA1,"Leather Watch, Brown",item_images/MA/ma1.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1099,659
MA,MA2,"G-Shock, Black",item_images/MA/ma2.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",699,559
MA,MA3,"Touch Watch, Black",item_images/MA/ma3.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",865,778
MA,MA4,"Touch Watch, Steel",item_images/MA/ma4.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",949,664
MA,MA5,"Steel Watch, Casio",item_images/MA/ma5.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",3599,1979
MA,MA6,"Leather Watch, Blue",item_images/MA/ma6.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",549,439
MA,MA7,"Aviators, Blue",item_images/MA/ma7.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1299,649
MA,MA8,"Wayfarers, Black",item_images/MA/ma8.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",699,384
MA,MA9,"Aviators, Grey",item_images/MA/ma9.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",599,359
MA,MA10,"Aviators, White",item_images/MA/ma10.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",649,519
MA,MA11,"Wayfarers, Blue",item_images/MA/ma11.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",949,664
MA,MA12,Round Sunglasses,item_images/MA/ma12.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",999,1399
MA,MA13,"Wallet, Beige",item_images/MA/ma13.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1695,1186
MA,MA14,"Wallet, Black",item_images/MA/ma14.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1299,649
MA,MA15,"Wallet, Brown",item_images/MA/ma15.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1299,909
MA,MA16,"Wallet, Dark Grey",item_images/MA/ma16.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1099,659
MA,MA17,"Wallet, Dark Brown",item_images/MA/ma17.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",7499,449
MA,MA18,"Wallet, Pattern",item_images/MA/ma18.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",599,179
MA,MA19,"Leather Belt, Dark Brown",item_images/MA/ma19.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1399,979
MA,MA20,"Leather Belt, Black",item_images/MA/ma20.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1499,749
MA,MA21,"Belt, Brown",item_images/MA/ma21.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1099,659
MA,MA22,"Belt, Black",item_images/MA/ma22.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",699,489
MA,MA23,"Belt, Orange",item_images/MA/ma23.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",999,549
MA,MA24,"Belt, Light Brown",item_images/MA/ma24.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",599,359
MA,MA25,"Cloth Belt, White",item_images/MA/ma25.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",549,329
MA,MA26,"Nike Cap, Blue",item_images/MA/ma26.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1299,779
MA,MA27,"Batman Cap, Black",item_images/MA/ma27.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",5490,3568
MA,MA28,"Adidas Cap, Black",item_images/MA/ma28.jpg,"Leather analog watch, one year warranty, brown strap, golden dial",1430,1001
